* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* POR  *  *     1  220P  *     220P  Departed:  On time.
* ORB  *  *     1  235P  *     237P  Departed:  2 minutes late.
* SAO  *  *     1  242P  *     248P  Departed:  6 minutes late.
* WEM  *  *     1  259P  *     305P  Departed:  6 minutes late.
* DOV  *  *     1  317P  *     325P  Departed:  8 minutes late.
* DHM  *  *     1  325P  *     334P  Departed:  9 minutes late.
* EXR  *  *     1  339P  *     348P  Departed:  9 minutes late.
* HHL  *  *     1  400P  *     409P  Departed:  9 minutes late.
* WOB  *  *     1  428P  *     442P  Departed:  14 minutes late.
* BON  1  450P  *  *     504P  *     Arrived:  14 minutes late.
