* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  250P  *     251P  Departed:  1 minute late.
* OLT  *  *     1  257P  *     301P  Departed:  4 minutes late.
* SOL  *  *     1  331P  *     331P  Departed:  On time.
* OSD  *  *     1  348P  *     348P  Departed:  On time.
* SNP  *  *     1  410P  *     415P  Departed:  5 minutes late.
* SNC  *  *     1  425P  *     428P  Departed:  3 minutes late.
* IRV  *  *     1  442P  *     442P  Departed:  On time.
* SNA  *  *     1  455P  *     455P  Departed:  On time.
* ANA  *  *     1  505P  *     505P  Departed:  On time.
* FUL  *  *     1  517P  *     517P  Departed:  On time.
* LAX  1  554P  *  *     556P  *     Arrived:  2 minutes late.
