* Downeaster
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* POR  *  *     1  220P  *     220P  Departed:  On time.
* ORB  *  *     1  235P  *     236P  Departed:  1 minute late.
* SAO  *  *     1  242P  *     245P  Departed:  3 minutes late.
* WEM  *  *     1  259P  *     302P  Departed:  3 minutes late.
* DOV  *  *     1  317P  *     324P  Departed:  7 minutes late.
* DHM  *  *     1  325P  *     330P  Departed:  5 minutes late.
* EXR  *  *     1  339P  *     344P  Departed:  5 minutes late.
* HHL  *  *     1  400P  *     405P  Departed:  5 minutes late.
* WOB  *  *     1  428P  *     433P  Departed:  5 minutes late.
* BON  1  450P  *  *     457P  *     Arrived:  7 minutes late.
