* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* GTA  *  *     1  1235P *     1235P Departed:  On time.
* SBA  1  1246P 1  1249P 1246P 1250P Arrived:  On time.                   |  Departed:  1 minute late.
* CPN  *  *     1  104P  *     105P  Departed:  1 minute late.
* VEC  *  *     1  126P  *     132P  Departed:  6 minutes late.
* OXN  *  *     1  142P  *     146P  Departed:  4 minutes late.
* CML  *  *     1  153P  *     157P  Departed:  4 minutes late.
* MPK  *  *     1  207P  *     210P  Departed:  3 minutes late.
* SIM  *  *     1  222P  *     224P  Departed:  2 minutes late.
* CWT  *  *     1  239P  *     239P  Departed:  On time.
* VNC  *  *     1  253P  *     254P  Departed:  1 minute late.
* BUR  *  *     1  301P  *     302P  Departed:  1 minute late.
* GDL  *  *     1  311P  *     313P  Departed:  2 minutes late.
* LAX  1  335P  1  408P  327P  408P  Arrived:  8 minutes early.           |  Departed:  On time.
* FUL  *  *     1  439P  *     441P  Departed:  2 minutes late.
* ANA  *  *     1  447P  *     449P  Departed:  2 minutes late.
* SNA  *  *     1  456P  *     457P  Departed:  1 minute late.
* IRV  *  *     1  509P  *     509P  Departed:  On time.
* SNC  *  *     1  524P  *     524P  Departed:  On time.
* OSD  *  *     1  601P  *     601P  Departed:  On time.
* SOL  *  *     1  620P  *     628P  Departed:  8 minutes late.
* OLT  *  *     1  655P  *     702P  Departed:  7 minutes late.
* SAN  1  707P  *  *     709P  *     Arrived:  2 minutes late.
