* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  415P  *     415P  Departed:  On time.
* DQN  *  *     1  436P  *     436P  Departed:  On time.
* CEN  *  *     1  508P  *     510P  Departed:  2 minutes late.
* EFG  *  *     1  552P  *     604P  Departed:  12 minutes late.
* MAT  *  *     1  616P  *     635P  Departed:  19 minutes late.
* CHM  *  *     1  659P  *     719P  Departed:  20 minutes late.
* RTL  *  *     1  712P  *     740P  Departed:  28 minutes late.
* GLM  *  *     1  738P  *     810P  Departed:  32 minutes late.
* KKI  *  *     1  800P  *     836P  Departed:  36 minutes late.
* HMW  *  *     1  827P  *     908P  Departed:  41 minutes late.
* CHI  1  945P  *  *     959P  *     Arrived:  14 minutes late.
