* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  841A  *     841A  Departed:  On time.
* FUL  *  *     1  912A  *     913A  Departed:  1 minute late.
* ANA  *  *     1  920A  *     932A  Departed:  12 minutes late.
* SNA  *  *     1  929A  *     942A  Departed:  13 minutes late.
* IRV  *  *     1  940A  *     953A  Departed:  13 minutes late.
* SNC  *  *     1  954A  *     1006A Departed:  12 minutes late.
* SNP  *  *     1  1011A *     1020A Departed:  9 minutes late.
* OSD  *  *     1  1038A *     1044A Departed:  6 minutes late.
* SOL  *  *     1  1056A *     1059A Departed:  3 minutes late.
* OLT  *  *     1  1126A *     1131A Departed:  5 minutes late.
* SAN  1  1140A *  *     1138A *     Arrived:  2 minutes early.
