* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  405P  *     405P  Departed:  On time.
* HMW  *  *     1  446P  *     449P  Departed:  3 minutes late.
* KKI  *  *     1  512P  *     520P  Departed:  8 minutes late.
* GLM  *  *     1  534P  *     544P  Departed:  10 minutes late.
* RTL  *  *     1  600P  *     613P  Departed:  13 minutes late.
* CHM  *  *     1  615P  *     632P  Departed:  17 minutes late.
* MAT  *  *     1  655P  *     727P  Departed:  32 minutes late.
* EFG  *  *     1  719P  *     755P  Departed:  36 minutes late.
* CEN  *  *     1  806P  *     845P  Departed:  39 minutes late.
* DQN  *  *     1  839P  *     918P  Departed:  39 minutes late.
* CDL  1  935P  *  *     937P  *     Arrived:  2 minutes late.
