* Illini
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  405P  *     405P  Departed:  On time.
* HMW  *  *     1  446P  *     452P  Departed:  6 minutes late.
* KKI  *  *     1  512P  *     522P  Departed:  10 minutes late.
* GLM  *  *     1  534P  *     545P  Departed:  11 minutes late.
* RTL  *  *     1  600P  *     614P  Departed:  14 minutes late.
* CHM  *  *     1  615P  *     634P  Departed:  19 minutes late.
* MAT  *  *     1  655P  *     715P  Departed:  20 minutes late.
* EFG  *  *     1  719P  *     742P  Departed:  23 minutes late.
* CEN  *  *     1  806P  *     845P  Departed:  39 minutes late.
* DQN  *  *     1  839P  *     918P  Departed:  39 minutes late.
* CDL  1  935P  *  *     937P  *     Arrived:  2 minutes late.
