* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CHI  *  *     1  515P  *     515P  Departed:  On time.
* SMT  *  *     1  537P  *     542P  Departed:  5 minutes late.
* JOL  *  *     1  605P  *     616P  Departed:  11 minutes late.
* DWT  *  *     1  639P  *     701P  Departed:  22 minutes late.
* PON  *  *     1  656P  *     718P  Departed:  22 minutes late.
* BNL  *  *     1  729P  *     752P  Departed:  23 minutes late.
* LCN  *  *     1  802P  *     832P  Departed:  30 minutes late.
* SPI  *  *     1  839P  *     904P  Departed:  25 minutes late.
* CRV  *  *     1  919P  *     938P  Departed:  19 minutes late.
* ALN  *  *     1  948P  *     1018P Departed:  30 minutes late.
* STL  1  1045P *  *     1100P *     Arrived:  15 minutes late.
