* Saluki
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  730A  *     730A  Departed:  On time.
* DQN  *  *     1  751A  *     753A  Departed:  2 minutes late.
* CEN  *  *     1  823A  *     828A  Departed:  5 minutes late.
* EFG  *  *     1  907A  *     921A  Departed:  14 minutes late.
* MAT  *  *     1  931A  *     951A  Departed:  20 minutes late.
* CHM  *  *     1  1014A *     1036A Departed:  22 minutes late.
* RTL  *  *     1  1027A *     1051A Departed:  24 minutes late.
* GLM  *  *     1  1053A *     1120A Departed:  27 minutes late.
* KKI  *  *     1  1115A *     1145A Departed:  30 minutes late.
* HMW  *  *     1  1144A *     1218P Departed:  34 minutes late.
* CHI  1  100P  *  *     106P  *     Arrived:  6 minutes late.
